uuid,name,sex,age,age_group,ethnicity,mother_tongue,religion,marital_status,education_level,field_of_study,occupation,occupation_sector,employment_status,city,district,region,residence_type,country,cultural_background,descriere_generala,profil_profesional,hobby_sport,hobby_arta_cultura,hobby_calatorii,hobby_culinar,career_goals_and_ambitions,persona_summary,skills_and_expertise_list,hobbies_and_interests_list,generation_timestamp,census_reference_year
15b153c3-23f4-4cd3-8ac6-ca91e12892b2,Maxim Cara,Masculin,19,15-24,Moldovean,Română,Ortodox,Necăsătorit,Superior (Licență/Master),Economie/Finanțe,Student,Educație,student,Chișinău,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
4d29459c-db31-483f-a184-e47d5ff3bd43,Anatolie Rotaru,Masculin,27,25-34,Moldovean,Română,Ortodox,Căsătorit,Superior (Licență/Master),Inginerie,Analist financiar,Servicii,employed,Bubuieci,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
f98ca762-a95a-487d-b392-ab5f03d7fd5e,Andrei Cebotari,Masculin,50,45-54,Moldovean,Română,Ortodox,Căsătorit,Doctorat,Drept,Secretar,Servicii,other_inactive,Drochia,Dondușeni,Nord,Rural,Moldova,,,,,,,,,,,,,2024
ad1cecb4-06b0-4cf5-a613-db321785055e,Andrei Cebotari,Masculin,49,45-54,Moldovean,Română,Ortodox,Căsătorit,Liceal,,Lăcătuș,Servicii,homemaker,Dubăsari,Telenești,Centru,Rural,Moldova,,,,,,,,,,,,,2024
ce3cc549-2fd5-4ab2-916a-e35521359067,Maria Cebotari,Feminin,42,35-44,Moldovean,Română,Ortodox,Căsătorit,Profesional/Tehnic,,Asistent medical,Servicii,other_inactive,Taraclia,Leova,Sud,Rural,Moldova,,,,,,,,,,,,,2024
dd5ee37c-c0ea-4ad9-9e31-84e5bd10f3fa,Mihai Chirila,Masculin,20,15-24,Moldovean,Română,Ortodox,Necăsătorit,Profesional/Tehnic,,Tehnician,Servicii,student,Bubuieci,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
283d8f0c-1c32-4b1f-bde4-f2117542a648,Dumitru Melnic,Masculin,49,45-54,Moldovean,Română,Ortodox,Căsătorit,Gimnazial,,Croitoreasă,Servicii,employed,Budești,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
fbf908af-fc2c-4b9c-9154-05ab82c3c665,Ion Cojocaru,Masculin,80,65+,Moldovean,Română,Ortodox,Necăsătorit,Liceal,,Pensionar (fost: profesor),,retired,Ocnița,Fălești,Nord,Rural,Moldova,,,,,,,,,,,,,2024
941ab8a9-5ce9-46a5-8853-0f80b9d08cd4,Irina Ciobanu,Feminin,62,55-64,Moldovean,Română,Ortodox,Văduv,Primar,,Muncitor agricol,Agricultură,homemaker,Cantemir,Cahul,Sud,Rural,Moldova,,,,,,,,,,,,,2024
8c886ef8-e57f-430c-93a2-0f618ab944aa,Petru Sandu,Masculin,43,35-44,Moldovean,Română,Ortodox,Căsătorit,Gimnazial,,Învățător,Servicii,other_inactive,Comrat,UTA Găgăuzia,Gagauzia,Urban,Moldova,,,,,,,,,,,,,2024
bc389abf-5ede-4ac6-9779-7102ec4a0554,Tatiana Bologa,Feminin,31,25-34,Moldovean,Română,Ortodox,Necăsătorit,Profesional/Tehnic,,Asistent social,Servicii,student,Nisporeni,Strășeni,Centru,Urban,Moldova,,,,,,,,,,,,,2024
e7f3cd77-c8d8-4565-90fd-69fb0c036d30,Irina Buza,Feminin,32,25-34,Moldovean,Română,Ortodox,Necăsătorit,Superior (Licență/Master),Inginerie,Farmacist,Servicii,employed,Cahul,Cimișlia,Sud,Urban,Moldova,,,,,,,,,,,,,2024
c8d35015-f0c5-48cb-8de6-759e7bb1bc5d,Maria Popa,Feminin,19,15-24,Moldovean,Română,Ortodox,Necăsătorit,Superior (Licență/Master),Educație/Pedagogie,Programator,Servicii,other_inactive,Budești,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
45ad1f8c-cdb0-4843-bac7-6cc39c12da78,Maria Cojocaru,Feminin,27,25-34,Moldovean,Română,Ortodox,Necăsătorit,Gimnazial,,Ospătar,Servicii,homemaker,Ungheni,Călărași,Centru,Urban,Moldova,,,,,,,,,,,,,2024
21ea7547-d304-476a-bdaf-125222affff2,Doina Balan,Feminin,21,15-24,Moldovean,Română,Ortodox,Necăsătorit,Superior (Licență/Master),Educație/Pedagogie,Asistent medical,Servicii,student,Strășeni,Orhei,Centru,Rural,Moldova,,,,,,,,,,,,,2024
a2b28619-c257-49c1-82e3-98c08a718f19,Nicolae Gheorghe,Masculin,82,65+,Moldovean,Română,Ortodox,Căsătorit,Profesional/Tehnic,,Tehnician,Servicii,retired,Bubuieci,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
8d2cd142-72e5-49f6-8fba-7b60622115b6,Veronica Grosu,Feminin,52,45-54,Moldovean,Română,Penticostal,Căsătorit,Liceal,,Zidar,Servicii,employed,Edineț,Florești,Nord,Rural,Moldova,,,,,,,,,,,,,2024
cb74ec0a-be9b-4016-a4c9-64b0949fd296,Adrian Radu,Masculin,20,15-24,Român,Română,Ortodox,Necăsătorit,Superior (Licență/Master),Științe Sociale,Student,Educație,student,Budești,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
a93ecccc-a717-447f-bd11-083cd3e30c47,Anatolie Sirbu,Masculin,61,55-64,Moldovean,Română,Ortodox,Separat,Primar,,Învățător,Agricultură,other_inactive,Călărași,Strășeni,Centru,Rural,Moldova,,,,,,,,,,,,,2024
68425073-d47a-4f08-956b-4f0695c62d20,Nicolae Rusu,Masculin,25,25-34,Moldovean,Română,Ortodox,Divorțat,Profesional/Tehnic,,Asistent social,Industrie,other_inactive,Bubuieci,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
f5b61519-0320-49b2-bc95-7bec99833dbb,George Matei,Masculin,33,25-34,Român,Română,Altă religie,Căsătorit,Superior (Licență/Master),Inginerie,Tehnician,Servicii,employed,Strășeni,Călărași,Centru,Rural,Moldova,,,,,,,,,,,,,2024
2659d0b1-27c3-43ac-93d9-b5bedce8d13b,Andrei Buza,Masculin,39,35-44,Moldovean,Română,Ortodox,Căsătorit,Gimnazial,,Asistent medical,Servicii,employed,Glodeni,Florești,Nord,Rural,Moldova,,,,,,,,,,,,,2024
2a9cc31c-d995-492d-be58-52cdf267bf0c,Elena Ceban,Feminin,20,15-24,Găgăuz,Găgăuză,Musulman,Necăsătorit,Profesional/Tehnic,,Instalator,Industrie,student,Vulcănești,UTA Găgăuzia,Gagauzia,Urban,Moldova,,,,,,,,,,,,,2024
405d5344-75de-4c82-96b0-57c28c7682ff,Elena Cristea,Feminin,60,55-64,Găgăuz,Găgăuză,Ortodox,Căsătorit,Gimnazial,,Învățător,Servicii,employed,Ceadîr-Lunga,UTA Găgăuzia,Gagauzia,Urban,Moldova,,,,,,,,,,,,,2024
5bf4021d-a901-4b25-9119-cdcd20cdda71,Dumitru Cazacu,Masculin,58,55-64,Moldovean,Română,Ortodox,Căsătorit,Superior (Licență/Master),Agricultură,Muncitor necalificat,Servicii,unemployed,Criuleni,Orhei,Centru,Rural,Moldova,,,,,,,,,,,,,2024
5e11ed85-1fd4-4626-a1dd-2c42af06858d,Daniel Ilie,Masculin,31,25-34,Român,Română,Ortodox,Divorțat,Profesional/Tehnic,,Vânzător,Industrie,employed,Chișinău,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
6ea331d3-6e56-4a64-829f-ed7a92fca4b7,Ludmila Cojocaru,Feminin,68,65+,Moldovean,Română,Ortodox,Căsătorit,Profesional/Tehnic,,Pensionar (fost: muncitor),,retired,Chișinău,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
795bb533-b4a4-4a65-871f-f53851cdecec,Alexandru Lungu,Masculin,50,45-54,Moldovean,Română,Ortodox,Căsătorit,Liceal,,Muncitor agricol,Agricultură,other_inactive,Criuleni,Ungheni,Centru,Rural,Moldova,,,,,,,,,,,,,2024
406788b5-2710-4bd6-88a8-86fdc47d7afb,Ion Ciobanu,Masculin,53,45-54,Moldovean,Română,Ortodox,Căsătorit,Liceal,,Asistent medical,Servicii,homemaker,Chișinău,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
56cc91b8-c4ef-41b2-8097-cab4ee97e9cf,Kateryna Shevchenko,Feminin,38,35-44,Ucrainean,Ucraineană,Ortodox,Căsătorit,Superior (Licență/Master),IT/Informatică,Arhitect,Servicii,student,Bălți,Mun. Bălți,Nord,Urban,Moldova,,,,,,,,,,,,,2024
f96b4fc7-5d8f-425d-a4cc-6b613a6a4180,Maria Rusu,Feminin,76,65+,Moldovean,Română,Ortodox,Necăsătorit,Gimnazial,,Șofer,Servicii,retired,Cahul,Cimișlia,Sud,Urban,Moldova,,,,,,,,,,,,,2024
a4de7373-1c88-4435-b867-75dd72d4743a,Alexei Chirila,Masculin,41,35-44,Moldovean,Română,Ortodox,Căsătorit,Profesional/Tehnic,,Asistent social,Industrie,employed,Cimișlia,Cahul,Sud,Urban,Moldova,,,,,,,,,,,,,2024
adcffc77-7082-4c51-91da-a23cd526b74c,Elena Melnic,Feminin,41,35-44,Moldovean,Română,Ortodox,Căsătorit,Doctorat,Medicină/Sănătate,Consultant IT,Servicii,employed,Bubuieci,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
90754c09-8511-43ab-8fd4-b278a8917e52,Natalia Balan,Feminin,28,25-34,Moldovean,Română,Ortodox,Căsătorit,Liceal,,Îngrijitor,Servicii,other_inactive,Criuleni,Călărași,Centru,Rural,Moldova,,,,,,,,,,,,,2024
f4d30ea2-afc1-4e54-84cb-669a2242f7ed,Ion Popa,Masculin,37,35-44,Moldovean,Română,Ortodox,Căsătorit,Primar,,Agricultor,Servicii,homemaker,Bubuieci,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
12dfad0b-83e1-460c-a11f-2dafa5d9934f,Radu Nistor,Masculin,59,55-64,Român,Română,Ortodox,Văduv,Liceal,,Zidar,Servicii,other_inactive,Cantemir,Cahul,Sud,Rural,Moldova,,,,,,,,,,,,,2024
8345f292-2b29-4c97-b54c-1dc1621137ce,Olga Munteanu,Feminin,78,65+,Moldovean,Română,Ortodox,Necăsătorit,Profesional/Tehnic,,Pensionar (fost: contabil),,retired,Basarabeasca,Cantemir,Sud,Rural,Moldova,,,,,,,,,,,,,2024
a0bf3a50-6cd3-4ce7-b3cc-b28742579a65,Oleg Jardan,Masculin,37,35-44,Găgăuz,Găgăuză,Ortodox,Văduv,Profesional/Tehnic,,Asistent medical,Servicii,other_inactive,Chirsova,UTA Găgăuzia,Gagauzia,Rural,Moldova,,,,,,,,,,,,,2024
ce1a8df3-ed91-485b-92cc-a38327c5b894,Liliana Ivanov,Feminin,47,45-54,Bulgar,Bulgară,Ortodox,Căsătorit,Superior (Licență/Master),IT/Informatică,Îngrijitor,Agricultură,homemaker,Soroca,Fălești,Nord,Rural,Moldova,,,,,,,,,,,,,2024
7cb7fdf8-4a17-4068-88e9-bf3795042c2d,Mihai Pop,Masculin,57,55-64,Român,Română,Ortodox,Divorțat,Gimnazial,,Învățător,Servicii,retired,Budești,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
61b76024-413d-4d36-846a-21c2a0886a91,Irina Cebotari,Feminin,55,55-64,Moldovean,Română,Ortodox,Văduv,Gimnazial,,Agricultor,Servicii,employed,Budești,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
7e1c3991-e635-499a-8af8-2cf8dc4ff32f,Ana Balan,Feminin,29,25-34,Moldovean,Română,Ortodox,Căsătorit,Liceal,,Ospătar,Servicii,homemaker,Sîngerei,Florești,Nord,Rural,Moldova,,,,,,,,,,,,,2024
782f0f47-2948-46b1-ae76-dfbcd6617d04,Gabriel Bostan,Masculin,75,65+,Moldovean,Română,Ortodox,Văduv,Gimnazial,,Muncitor necalificat,Servicii,retired,Criuleni,Criuleni,Centru,Rural,Moldova,,,,,,,,,,,,,2024
ff911147-81a8-4e31-8575-0512d84e5162,Hristo Petrov,Masculin,58,55-64,Bulgar,Bulgară,Ortodox,Căsătorit,Superior (Licență/Master),Economie/Finanțe,Agricultor,Agricultură,retired,Taraclia,Cantemir,Sud,Rural,Moldova,,,,,,,,,,,,,2024
97c4c992-be69-4589-8770-46605af4653c,Zinaida Grosu,Feminin,39,35-44,Moldovean,Română,Ortodox,Căsătorit,Gimnazial,,Învățător,Agricultură,employed,Leova,Taraclia,Sud,Rural,Moldova,,,,,,,,,,,,,2024
74090e1d-d1d4-4772-9db4-ba853fff4d99,Ashot Wiśniewski,Masculin,47,45-54,Altele,Română,Ortodox,Căsătorit,Gimnazial,,Paznic,Servicii,other_inactive,Chișinău,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
1e9eaa17-33f6-4ab6-8db5-edccb58eb53c,Valentina Rusu,Feminin,31,25-34,Moldovean,Română,Ortodox,Căsătorit,Profesional/Tehnic,,Tehnician,Servicii,other_inactive,Criuleni,Călărași,Centru,Rural,Moldova,,,,,,,,,,,,,2024
7d8e301c-7b68-429f-8f01-ef513521b780,Elena Cojocaru,Feminin,26,25-34,Moldovean,Română,Ortodox,Căsătorit,Profesional/Tehnic,,Muncitor agricol,Agricultură,employed,Călărași,Călărași,Centru,Rural,Moldova,,,,,,,,,,,,,2024
87c1bafa-72a1-47c4-bf97-42512d4bf86b,Tamara Sandu,Feminin,57,55-64,Moldovean,Română,Ortodox,Căsătorit,Profesional/Tehnic,,Secretar,Servicii,retired,Bubuieci,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
30768431-260a-4b52-bde8-bebdefb8416e,Veronica Munteanu,Feminin,72,65+,Moldovean,Română,Ortodox,Divorțat,Gimnazial,,Pensionar (fost: inginer),,retired,Dubăsari,Nisporeni,Centru,Rural,Moldova,,,,,,,,,,,,,2024
17fa24ad-7178-4120-bc10-f3a1ee8980ca,Natalia Istrati,Feminin,49,45-54,Moldovean,Română,Ortodox,Separat,Superior (Licență/Master),Medicină/Sănătate,Psiholog,Servicii,employed,Chișinău,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
6ab67788-45da-44ed-a495-93dc5f5478eb,Bohdan Ponomarenko,Masculin,42,35-44,Ucrainean,Ucraineană,Ortodox,Necăsătorit,Gimnazial,,Tâmplar,Servicii,employed,Leova,Basarabeasca,Sud,Rural,Moldova,,,,,,,,,,,,,2024
d1b833b0-61de-4f9f-a21c-f0dd93b0549a,Ana Balan,Feminin,46,45-54,Moldovean,Română,Ortodox,Divorțat,Gimnazial,,Zidar,Servicii,employed,Telenești,Nisporeni,Centru,Rural,Moldova,,,,,,,,,,,,,2024
9d8f39c9-045c-4e22-9062-8da4c53e2a34,Irina Sirbu,Feminin,69,65+,Moldovean,Română,Ortodox,Căsătorit,Doctorat,Drept,Zidar,Servicii,retired,Fălești,Rîșcani,Nord,Rural,Moldova,,,,,,,,,,,,,2024
2c35beec-7fe4-4594-a212-c5a833fdd2b4,Bojidar Dimitrov,Masculin,29,25-34,Bulgar,Bulgară,Catolic,Căsătorit,Superior (Licență/Master),Arte/Umanistice,Arhitect,Servicii,employed,Cahul,Leova,Sud,Urban,Moldova,,,,,,,,,,,,,2024
46a34e9a-93bb-4ccc-a828-d4467f400632,Svetlana Melnic,Feminin,76,65+,Moldovean,Română,Ortodox,Căsătorit,Liceal,,Pensionar (fost: profesor),,retired,Basarabeasca,Leova,Sud,Rural,Moldova,,,,,,,,,,,,,2024
